Address,Type,Area,Price,Bedroom,Toilet,Floor,Furniture,Direction,Legal,Posting date,Expiry date,Ad type,Ad code
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,70 m²,"3,1 tỷ",2 phòng,,,Cơ bản.,Đông - Nam,Hợp đồng mua bán,29/04/2025,06/05/2025,Tin thường,39943974
"The Opus One - Vinhomes Grand Park, Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,83 m²,"5,52 tỷ",2 phòng,,,,Đông - Nam,Hợp đồng mua bán,03/05/2025,10/05/2025,Tin VIP Kim Cương,42871846
"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,75 m²,"10,6 tỷ",2 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,03/05/2025,10/05/2025,Tin VIP Kim Cương,42084024
"De La Sol, Tôn Thất Thuyết, 1, Quận 4, Hồ Chí Minh",Căn hộ chung cư,85 m²,Thỏa thuận,2 phòng,,,Đầy đủ,,Sổ đỏ/ Sổ hồng,07/05/2025,14/05/2025,Tin VIP Kim Cương,42716025
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,90 m²,Thỏa thuận,3 phòng,,,,,,01/05/2025,16/05/2025,Tin VIP Kim Cương,38809002
"Đường  Kỳ Đồng, Phường 9, Quận 3, Hồ Chí Minh",Nhà riêng,61 m²,"2,39 tỷ",4 phòng,,3 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,03/05/2025,10/05/2025,Tin VIP Kim Cương,42871173
"Đường  Phan Đăng Lưu, Phường 5, Phú Nhuận, Hồ Chí Minh",Nhà riêng,140 m²,"25,9 tỷ",4 phòng,,3 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,03/05/2025,10/05/2025,Tin VIP Kim Cương,42870973
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,88 tỷ",2 phòng,,,,,,06/05/2025,13/05/2025,Tin VIP Kim Cương,39912207
"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",Nhà riêng,82 m²,"6,2 tỷ",2 phòng,,,Cơ bản.,,Sổ đỏ/ Sổ hồng,03/05/2025,18/05/2025,Tin VIP Kim Cương,42653788
"Đường Nguyễn Văn Thủ, Phường Đa Kao, Quận 1, Hồ Chí Minh",Nhà riêng,61 m²,Thỏa thuận,4 phòng,,3 tầng,Đầy đủ.,,Sổ đỏ/ Sổ hồng.,03/05/2025,10/05/2025,Tin VIP Kim Cương,42870913
"Conic Boulevard, Huỳnh Bá Chánh, Tân Kiên, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,85 m²,"2,45 tỷ",2 phòng,,,Cơ bản,,Đang chờ sổ,29/04/2025,09/05/2025,Tin thường,42855103
"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,66 m²,"4,15 tỷ",2 phòng,,,Cơ bản,,Hợp đồng mua bán,03/05/2025,10/05/2025,Tin VIP Kim Cương,35333854
"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Căn hộ chung cư,"56,68 m²","20,66 tỷ",1 phòng,,,Full nội thất.,,Hợp đồng mua bán,07/05/2025,14/05/2025,Tin VIP Kim Cương,42595344
"Dự án The Beverly Solari  - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"58,9 m²","2,93 tỷ",2 phòng,,,Đầy đủ,,Hợp đồng mua bán,02/05/2025,12/05/2025,Tin VIP Kim Cương,40105478
"Dự án Grand Marina Saigon, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",Căn hộ chung cư,56 m²,20 tỷ,1 phòng,,,Đầy đủ,Tây - Bắc,Sổ đỏ/ Sổ hồng,02/05/2025,09/05/2025,Tin VIP Kim Cương,42596404
"Dự án Lumiere Riverside, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,52 m²,"6,5 tỷ",1 phòng,,,Cơ bản.,Tây - Bắc,Sổ đỏ/ Sổ hồng,02/05/2025,09/05/2025,Tin VIP Kim Cương,42620616
"Dự án Diamond  Alnata Plus - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,88 m²,"6,3 tỷ",2 phòng,,,Đầy đủ,Đông - Bắc,Hợp đồng mua bán,02/05/2025,09/05/2025,Tin VIP Kim Cương,42869020
"The Opera Residence, Đại Lộ Vòng Cung, Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,70 m²,19 tỷ,2 phòng,,,Đầy đủ,,,28/04/2025,05/05/2025,Tin thường,42845462
"Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,70 m²,17 tỷ,2 phòng,,,"Cơ bản Máy giặt, tủ lạnh âm tường, tủ quần áo, tủ sấy, tủ kệ giầy, full nội thất bếp, Full nội thất WC, bồn tắm nằm chuẩn 5*,...",Tây - Nam,Hợp đồng mua bán,02/05/2025,17/05/2025,Tin VIP Kim Cương,42201145
"Đường Huỳnh Tấn Phát, Phường Tân Phú, Quận 7, Hồ Chí Minh",Nhà riêng,28 m²,"3,6 tỷ",2 phòng,,3 tầng,Cơ bản,Đông,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42720679
"Phường Phú Mỹ, Quận 7, Hồ Chí Minh",Nhà mặt phố,80 m²,16 tỷ,3 phòng,,4 tầng,Đầy đủ,Tây - Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42711803
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,113 m²,"9,95 tỷ",4 phòng,,4 tầng,Đầy đủ.,Tây,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42650489
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"284,5 m²",22 tỷ,13 phòng,,3 tầng,,Đông,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42824758
"Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",Nhà riêng,"59,6 m²","7,5 tỷ",4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,25/04/2025,05/05/2025,Tin thường,42825173
"Đường Đào Tông Nguyên, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",Nhà riêng,94 m²,"8,5 tỷ",4 phòng,,3 tầng,Đầy đủ,Đông - Bắc,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42524046
"Đường Nguyễn Văn Quỳ, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Nhà riêng,"66,6 m²","7,47 tỷ",4 phòng,,3 tầng,Đầy đủ,Nam,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42638145
"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà riêng,72 m²,"12,6 tỷ",8 phòng,,5 tầng,,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42817784
"Xã Tân Phú Trung, Củ Chi, Hồ Chí Minh",Đất bán,"154,7 m²","1,65 tỷ",,,,,,Sổ đỏ/ Sổ hồng,29/04/2025,09/05/2025,Tin thường,42674620
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,74 m²,Thỏa thuận,2 phòng,,,Đầy đủ,Đông - Nam,Sổ đỏ/ Sổ hồng,02/05/2025,12/05/2025,Tin VIP Kim Cương,38623445
"Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh","Nhà biệt thự, liền kề","57,2 m²","9,2 tỷ",5 phòng,,4 tầng,,,Sổ đỏ/ Sổ hồng,02/05/2025,05/05/2025,Tin thường,42038810
"Q2 Thảo Điền, Đường Võ Trường Toản, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,181 m²,36 tỷ,4 phòng,,,Đầy đủ,Đông - Nam,Sổ đỏ/ Sổ hồng,02/05/2025,12/05/2025,Tin VIP Kim Cương,42795827
"The Origami - Vinhomes Grand Park, Phước Thiện, Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,60 m²,"2,96 tỷ",,,,,,,02/05/2025,09/05/2025,Tin thường,42804224
"Dự án Happy One Sora, Đường Số 9, Phường Linh Xuân, Thủ Đức, Hồ Chí Minh",Căn hộ chung cư,51 m²,"2,1 tỷ",2 phòng,,,Đầy đủ,Đông,Sổ đỏ/ Sổ hồng,09/05/2025,16/05/2025,Tin VIP Kim Cương,42866857
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh","Nhà biệt thự, liền kề",84 m²,"13,5 tỷ",3 phòng,,5 tầng,,,Hợp đồng mua bán,02/05/2025,09/05/2025,Tin thường,33142814
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,70 m²,6 tỷ,2 phòng,,,,,,09/05/2025,16/05/2025,Tin VIP Kim Cương,34061984
"Dự án The Privé, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,85 m²,Thỏa thuận,2 phòng,,,,,,02/05/2025,06/05/2025,Tin thường,42866022
"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,59 m²,"2,6 tỷ",2 phòng,,,,,,02/05/2025,09/05/2025,Tin thường,42865982
"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ chung cư,65 m²,"6,7 tỷ",2 phòng,,,Đầy đủ.,,Sổ đỏ/ Sổ hồng,02/05/2025,07/05/2025,Tin thường,42210173
"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,68 m²,3 tỷ,2 phòng,,,Có nội thất,,Sổ đỏ/ Sổ hồng,02/05/2025,09/05/2025,Tin thường,41071614
"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,68 m²,3 tỷ,2 phòng,,,Cơ bản,,Hợp đồng mua bán,08/05/2025,15/05/2025,Tin VIP Kim Cương,41036963
"Dự án The River Thủ Thiêm, Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",Căn hộ chung cư,94 m²,11 tỷ,2 phòng,,,,Tây - Nam,Sổ đỏ/ Sổ hồng,01/05/2025,16/05/2025,Tin VIP Kim Cương,40790843
"Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,86 m²,15 tỷ,2 phòng,,,,Tây - Nam,,01/05/2025,16/05/2025,Tin VIP Kim Cương,40284815
"Eaton Park, Mai Chí Thọ, An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,"103,7 m²","17,5 tỷ",3 phòng,,,,,Hợp đồng mua bán,01/05/2025,08/05/2025,Tin thường,42863430
"Dự án The Galleria Residence, Đường Đại Lộ Vòng Cung, Phường An Khánh, Quận 2, Hồ Chí Minh",Căn hộ chung cư,50 m²,"9,5 tỷ",1 phòng,,,,,Sổ đỏ/ Sổ hồng,09/05/2025,16/05/2025,Tin VIP Vàng,42863313
"273/27, Đường Lạc Long Quân, Phường 3, Quận 11, Hồ Chí Minh",Nhà riêng,"12,2 m²","1,98 tỷ",2 phòng,,2 tầng,,Bắc,Sổ đỏ/ Sổ hồng,01/05/2025,11/05/2025,Tin VIP Kim Cương,42736821
"Đường Chiến Lược, Phường Bình Trị Đông, Bình Tân, Hồ Chí Minh",Nhà riêng,40 m²,"3,8 tỷ",2 phòng,,1 tầng,Không nội thất,Đông,Sổ đỏ/ Sổ hồng,01/05/2025,08/05/2025,Tin thường,42863152
"Dự án Elysian, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Căn hộ chung cư,80 m²,"4,25 tỷ",2 phòng,,,Cơ bản.,,Hợp đồng mua bán.,30/04/2025,15/05/2025,Tin VIP Kim Cương,42824365
"Diamond Island, Bình Trưng Tây, Quận 2, Hồ Chí Minh",Căn hộ chung cư,87 m²,9 tỷ,2 phòng,,,,,Hợp đồng mua bán,30/04/2025,15/05/2025,Tin VIP Kim Cương,42861581
"Đường Lê Văn Sỹ, Phường 1, Tân Bình, Hồ Chí Minh",Nhà riêng,45 m²,8 tỷ,4 phòng,,4 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,08/05/2025,18/05/2025,Tin thường,42374969
"Đường Đỗ Thị Lời, Phường 11, Quận 3, Hồ Chí Minh",Nhà mặt phố,"53,9 m²","19,9 tỷ",4 phòng,,5 tầng,Cơ bản,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42351428
"Đường Hoàng Hoa Thám, Phường 7, Bình Thạnh, Hồ Chí Minh",Nhà mặt phố,"155,8 m²","33,5 tỷ",3 phòng,,3 tầng,Cơ bản,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42234947
"Đường  Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",Nhà mặt phố,"118,3 m²",45 tỷ,7 phòng,,8 tầng,Cơ bản,,Sổ hồng riêng.,04/05/2025,14/05/2025,Tin thường,42721639
"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",Nhà mặt phố,"40,6 m²",26 tỷ,5 phòng,,5 tầng,Cơ bản,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,41113744
"Đường Hoàng Văn Thụ, Phường 15, Phú Nhuận, Hồ Chí Minh",Nhà mặt phố,"137,3 m²",60 tỷ,5 phòng,,5 tầng,Cơ bản,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42360306
"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",Nhà mặt phố,"53,7 m²",26 tỷ,4 phòng,,4 tầng,Cơ bản.,,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42721909
"Đường D5, Phường An Khánh, Quận 2, Hồ Chí Minh",Nhà mặt phố,"62,5 m²",19 tỷ,4 phòng,,4 tầng,Cơ bản,,Sổ đỏ/ Sổ hồng,04/05/2025,14/05/2025,Tin thường,42616081
"Đường Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh",Nhà mặt phố,81 m²,"36,8 tỷ",5 phòng,,5 tầng,Cơ bản.,,Sổ đỏ/ Sổ hồng.,04/05/2025,14/05/2025,Tin thường,42591106
"Dự án Conic Boulevard, Đường Huỳnh Bá Chánh, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,85 m²,"2,6 tỷ",2 phòng,,,Cơ bản,,Hợp đồng mua bán,29/04/2025,06/05/2025,Tin thường,42309814
"Grand Marina Saigon, Tôn Đức Thắng, Bến Nghé, Quận 1, Hồ Chí Minh",Căn hộ chung cư,"78,22 m²","28,6 tỷ",2 phòng,,,,,Hợp đồng mua bán,30/04/2025,10/05/2025,Tin VIP Kim Cương,42860877
"Dự án Lumière Midtown, Đường Liên Phường, Phường An Phú, Quận 2, Hồ Chí Minh",Căn hộ chung cư,128 m²,Thỏa thuận,3 phòng,,,,,Hợp đồng mua bán,30/04/2025,10/05/2025,Tin VIP Kim Cương,42860829
"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh","Nhà biệt thự, liền kề",1.000 m²,209 tỷ,3 phòng,,3 tầng,Đầy đủ,,Sổ đỏ/ Sổ hồng,30/04/2025,15/05/2025,Tin VIP Kim Cương,42859299
"Xã Tân Thạnh Tây, Củ Chi, Hồ Chí Minh",Đất bán,681 m²,"7,2 tỷ",,,,,,Sổ đỏ/ Sổ hồng,30/04/2025,10/05/2025,Tin VIP Kim Cương,42847537
"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,70 m²,Thỏa thuận,2 phòng,,,Cơ bản,Đông,Hợp đồng mua bán,09/05/2025,16/05/2025,Tin VIP Kim Cương,40164578
